"","O_AD_CD","11","21","22","22520","23","24","25","26","29","31010","31020","31030","31040","31050","31060","31070","31080","31090","31100","31110","31120","31130","31140","31150","31160","31170","31180","31190","31200","31210","31220","31230","31240","31250","31260","31270","31280","31550","31570","31580","32010","32020","32030","32040","32050","32060","32070","32510","32520","32530","32540","32550","32560","32570","32580","32590","32600","32610","33020","33030","33040","33520","33530","33540","33550","33560","33570","33580","33590","34010","34020","34030","34040","34050","34060","34070","34080","34510","34530","34540","34550","34560","34570","34580","35010","35020","35030","35040","35050","35060","35510","35520","35530","35540","35550","35560","35570","35580","36010","36020","36030","36040","36060","36510","36520","36530","36550","36560","36570","36580","36590","36600","36610","36620","36630","36640","36650","36660","36670","36680","37010","37020","37030","37040","37050","37060","37070","37080","37090","37100","37520","37530","37540","37550","37560","37570","37580","37590","37600","37610","37620","38030","38050","38060","38070","38080","38090","38100","38110","38510","38520","38530","38540","38550","38560","38570","38580","38590","38600"
"1","11",0,860788.4226,0,0,85655.9478,0,0,0,0,0,0,0,0,0,0,2935.3317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812.9145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29378.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","21",1195870.608,0,1454974.5858,368819.4258,2864027.7348,609922.2411,386532.5484,5970405.9111,303482.187,289057.9335,108618.3276,247256.0658,63543.2463,78563.2395,91043.0373,86022.7551,1586944.9128,694008.7623,1160833.2582,5270.5572,47428.4118,28219.518,98846.5905,251399.5335,253682.5101,109560.0219,1007425.9722,3204526.5741,41191.1754,329056.2876,1992875.3925,932454.4026,214163.4273,1182454.0575,2380718.6364,122269.3698,196387.5975,162517.4025,2803.9959,3276.1104,6550.6233,8896.5627,163717.8492,2455.2297,65384.4183,0,0,16928.1537,29366.5017,1939.9614,974.3898,2332.9251,0,2173.7928,0,0,53.9316,0,0,97451.3766,1301485.7634,1029173.0805,14749.5897,418199.0454,185059.3842,103848.1926,133986.4785,9896.8959,9597.9291,512049.87,512703.567,133009.8522,636490.7535,528639.2472,80463.2421,70669.353,37950.6573,72973.8213,87.3726,43589.1081,26406.036,77807.7072,6708.2007,50765.5254,29809.3713,299727.8277,150740.2491,325540.041,31376.5188,191793.294,80839.9326,13469.6514,0,1678.9725,51.0135,812.5524,4288.6485,6033.7149,821.7114,17744.7957,88346.0313,9699.4875,549406.8537,73830.8907,25639.7046,27028.7202,0,1307.5857,7178.9946,14840.2425,149.8455,5910.5157,1232.9079,25679.0244,3165.606,103.3689,759.4728,11737.2159,1471.7235,156.8319,1391588.0649,24892.6284,1121229.3162,320416.1556,71440.7112,4293028.0569,156785.8068,149420.1177,28655.6142,14548.7094,26346.4812,9673.821,0,0,0,105524.6943,60276.657,30009.6978,375673.5528,2309.1969,3575.0559,65265.2022,3213956.2119,43744.3638,2460050.3586,117079.9656,32941.8558,1108534.1967,4109147.3721,16352.01,218346.4704,85509.8724,36521.9172,114.7644,2048.5914,5329.0896,59705.1354,19795.9218,15950.1429
"3","22",0,2369565.5304,0,0,244430.4078,0,0,0,0,0,0,0,0,0,0,17106.3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676.7817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.6831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3237.6,0,0,0,0,0,0,0,0,0,0
"4","22520",0,625014.7395,0,0,1319.5563,0,0,0,0,0,0,0,0,0,0,15229.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38758.9071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","23",1028812.8762,2618755.3593,108765.1485,188.6967,0,14622.9825,167936.8467,30239.4609,2992.1601,281209.203,373976.88,5074.725,262478.3238,92149.3806,383919.3153,232408.2405,416022.0576,211415.2161,1101859.65,10556.6634,3622.5336,101128.7577,770191.0878,208579.0359,715266.4179,695773.233,199011.9918,1050780.759,330936.6942,388288.9038,762432.6054,277201.3098,600610.8822,1141957.4751,1523255.5059,278538.7581,457407.489,221314.5189,1348.7586,670.2471,11200.9458,61238.2881,122576.8992,3007.6878,93.8052,0,551.4783,92837.4558,912.3216,58317.3339,92.1225,0,0,1204.4724,0,0,0,0,277.9224,58078.0284,11643.0486,79035.8013,83.9859,6187.863,3309.6153,171.9336,22211.7678,430.6434,870.5736,394475.5527,952.8981,5106.0147,2788.7238,165894.3684,125619.6255,3003.6195,427.4697,71779.9776,1026.0423,4459.0272,2011.8702,158.2803,0,4271.1399,15675.5433,45580.8711,26464.9731,23182.5366,1419.8154,0,531.1581,30.9489,0,702.474,0,0,0,0,0,0,0,1352.5713,462253.2177,749.121,62.4303,0,0,141.2403,0,0,0,0,0,0,0,0,0,0,0,0,446.661,619.2549,10105.0821,557.3997,0,40884.7749,73.0803,59351.172,885.8457,66.4986,0,0,0,0,0,0,250.6158,0,1481.6067,57.4674,181.2417,0,751.7622,0,8274.9222,1861.4922,141.1551,8318.076,127.8,0,52.8027,0,0,0,511.8603,0,6668.9448,0,0
"6","24",0,2040345.4245,0,0,83579.8368,0,0,0,0,0,0,0,0,0,0,4519.9239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2457125.3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","25",0,1244518.4661,0,0,134849.3415,0,0,0,0,0,0,0,0,0,0,5339.7396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27695.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","26",1135.4817,13151474.0448,11413.0512,44723.0136,45469.749,0,0,0,0,0,0,11229.36,0,0,0,51338.9853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691.4543,0,0,0,0,0,0,0,0,0,0,0,26.7528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4868.0724,404.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74469.1452,0,0,0,0,67149.3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3378.18,0,1538.3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","29",0,63973.8684,0,0,82992.255,0,0,0,0,0,0,0,0,0,0,58156.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109117.8765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
